3F5,202700,46500
3F4,195400,46500
3F3,188100,46500
3F2,180800,46500
3F1,173500,46500
3G1,173500,53800
3G2,180800,53800
3G3,188100,53800
3G4,195400,53800
3G5,202700,53800
3G6,210000,53800
3G7,217300,53800
3G8,224600,53800
3G9,231900,53800
3G10,239200,53800
3G11,246500,53800
3G12,253800,53800
3H12,253800,61100
3H11,246500,61100
3H10,239200,61100
3H9,231900,61100
3H8,224600,61100
3H7,217300,61100
3H6,210000,61100
3H5,202700,61100
3H4,195400,61100
3H3,188100,61100
3H2,180800,61100
3H1,173500,61100
4A1,257000,10000
4A2,264300,10000
4A3,271600,10000
4A4,278900,10000
4A5,286200,10000
4A6,293500,10000
4A7,300800,10000
4A8,308100,10000
4A9,315400,10000
4A10,322700,10000
4A11,330000,10000
4A12,337300,10000
4B12,337300,17300
4B11,330000,17300
4B10,322700,17300
4B9,315400,17300
4B8,308100,17300
4B7,300800,17300
4B6,293500,17300
4B5,286200,17300
4B4,278900,17300
4B3,271600,17300
4B2,264300,17300
4B1,257000,17300
4C1,257000,24600
4C2,264300,24600
4C3,271600,24600
4C4,278900,24600
4C5,286200,24600
4C6,293500,24600
4C7,300800,24600
4C8,308100,24600
4C9,315400,24600
4C10,322700,24600
4C11,330000,24600
4C12,337300,24600
4D12,337300,31900
4D11,330000,31900
4D10,322700,31900
4D9,315400,31900
4D8,308100,31900
4D7,300800,31900
4D6,293500,31900
4D5,286200,31900
4D4,278900,31900
4D3,271600,31900
4D2,264300,31900
4D1,257000,31900
4E1,257000,39200
4E2,264300,39200
4E3,271600,39200
4E4,278900,39200
4E5,286200,39200
4E6,293500,39200
4E7,300800,39200
4E8,308100,39200
4E9,315400,39200
4E10,322700,39200
4E11,330000,39200
4E12,337300,39200
4F12,337300,46500
4F11,330000,46500
4F10,322700,46500
4F9,315400,46500
4F8,308100,46500
4F7,300800,46500
4F6,293500,46500
4F5,286200,46500
4F4,278900,46500
4F3,271600,46500
4F2,264300,46500
4F1,257000,46500
4G1,257000,53800
4G2,264300,53800
4G3,271600,53800
4G4,278900,53800
4G5,286200,53800
4G6,293500,53800
4G7,300800,53800
4G8,308100,53800
4G9,315400,53800
4G10,322700,53800
4G11,330000,53800
4G12,337300,53800
4H12,337300,61100
4H11,330000,61100
4H10,322700,61100
4H9,315400,61100
4H8,308100,61100
4H7,300800,61100
4H6,293500,61100
4H5,286200,61100
4H4,278900,61100
4H3,271600,61100
4H2,264300,61100
4H1,257000,61100
5A1,340500,10000
5A2,347800,10000
5A3,355100,10000
5A4,362400,10000
5A5,369700,10000
5A6,377000,10000
5A7,384300,10000
5A8,391600,10000
5A9,398900,10000
5A10,406200,10000
5A11,413500,10000
5A12,420800,10000
5B12,420800,17300
5B11,413500,17300
5B10,406200,17300
5B9,398900,17300
5B8,391600,17300
5B7,384300,17300
5B6,377000,17300
5B5,369700,17300
5B4,362400,17300
5B3,355100,17300
5B2,347800,17300
5B1,340500,17300
5C1,340500,24600
5C2,347800,24600
5C3,355100,24600
5C4,362400,24600
5C5,369700,24600
5C6,377000,24600
5C7,384300,24600
5C8,391600,24600
5C9,398900,24600
5C10,406200,24600
5C11,413500,24600
5C12,420800,24600
5D12,420800,31900
5D11,413500,31900
5D10,406200,31900
5D9,398900,31900
5D8,391600,31900
5D7,384300,31900
5D6,377000,31900
5D5,369700,31900
5D4,362400,31900
5D3,355100,31900
5D2,347800,31900
5D1,340500,31900
5E1,340500,39200
5E2,347800,39200
5E3,355100,39200
5E4,362400,39200
5E5,369700,39200
